character,skill_id,skill_name,role,capture_mode,proxy,planned_events,motion_flow,takes,camera_note
류,skill1,쌍날 난무,연속 타격,fullbody_dualweapon,폼 쌍단검 2개,3접점 권장,진입→R 베기→L 베기→교차 베기→짧은 이탈,3 clean + 1 exaggerated + 1 slow reference,전신 고정 + 45도 보조 권장; 손/무기 가림 최소화
류,skill2,그림자 도약,회피/축회전,fullbody_inplace,폼 쌍단검 2개,접점 없음,보스 축 기준 측면 스텝→상체는 목표 고정→발 교체→재진입,3 clean + 1 exaggerated + 1 slow reference,전신 고정 + 45도 보조 권장; 손/무기 가림 최소화
류,skill3,칼날 폭풍,광역 연속,fullbody_dualweapon,폼 쌍단검 2개,2~3접점 권장,낮은 자세→회전 베기→반대손 후속→방향 전환→회수,3 clean + 1 exaggerated + 1 slow reference,전신 고정 + 45도 보조 권장; 손/무기 가림 최소화
류,skill4,표식,타깃 지정,upperbody_additive,폼 쌍단검 2개,표식 이벤트,시선 고정→한 손 표식→다른 손은 무기 준비→즉시 이동 가능,3 clean + 1 exaggerated + 1 slow reference,전신 고정 + 45도 보조 권장; 손/무기 가림 최소화
류,ult,붉은 그림자,고속 연속 찌르기,fullbody_dualweapon,폼 쌍단검 2개,3~5접점 권장,짧은 대시→교차 찌르기 연속→최종 관통 포즈→즉시 이탈,3 clean + 1 exaggerated + 1 slow reference,전신 고정 + 45도 보조 권장; 손/무기 가림 최소화
세라,skill1,부식 시약,정제환 투척,fullbody_prop,경량 정제환 2개 + 와이어는 디지털,release + impact,정제환 준비→한 손 투척→반대손 회수 준비→목표 확인,3 clean + 1 exaggerated + 1 slow reference,전신 고정 + 45도 보조 권장; 손/무기 가림 최소화
세라,skill2,정제 안개,회피/장 설치,fullbody_prop,경량 정제환 2개 + 와이어는 디지털,release 이벤트,환 위치 확인→와이어 당김 몸이동→낮은 착지→정제 자세,3 clean + 1 exaggerated + 1 slow reference,전신 고정 + 45도 보조 권장; 손/무기 가림 최소화
세라,skill3,연쇄 폭발,다중 장치 연계,fullbody_prop,경량 정제환 2개 + 와이어는 디지털,2 release + detonate,양쪽 환 교차 투척→교차점 확인→손가락/손목 트리거→폭발,3 clean + 1 exaggerated + 1 slow reference,전신 고정 + 45도 보조 권장; 손/무기 가림 최소화
세라,skill4,회복 결계,지원 유지,upperbody_additive,경량 정제환 2개 + 와이어는 디지털,wardOn/wardOff,환 두 개 펼침→손을 작게 유지→장치가 크게 반응→해제,3 clean + 1 exaggerated + 1 slow reference,전신 고정 + 45도 보조 권장; 손/무기 가림 최소화
세라,ult,촉매 폭발,대형 정제 폭발,fullbody_prop,경량 정제환 2개 + 와이어는 디지털,release + detonate,양환 회수→가슴 앞 압축→전방 방출→폭발 확인→후퇴,3 clean + 1 exaggerated + 1 slow reference,전신 고정 + 45도 보조 권장; 손/무기 가림 최소화
